"Gender","composite_name","n"
"female","Aliette Lochy",1
"female","Alison Clarke",1
"female","Alison Farley",1
"female","Alison Talmage",1
"female","Alix Wong-Min",1
"female","Aliya Edwards",1
"female","Aliyah Ramatally",1
"female","Aliénor Golvet",1
"female","Allison Davis",1
"female","Allison Midden",1
"female","Allyson Spence",1
"female","Alma Shimony",1
"female","Almudena González",1
"female","Alva Appelgren",1
"female","Alycia Mahon",1
"female","Amalia Casas-Mas",1
"female","Amalia De Goetzen",1
"female","Amalia De Götzen",1
"female","Amanda Bayley",1
"female","Amanda Denes",1
"female","Amanda Martin",1
"female","Amanda Prem",1
"female","Amanda Reid",1
"female","Amanda Schlegel",1
"female","Amanda She",1
"female","Amanda de Abreu",1
"female","Amani El-Alayli",1
"female","Amber Brown",1
"female","Amber Clark",1
"female","Amber Williams",1
"female","Ambra Palazzi",1
"female","Amy Beeston",1
"female","Amy Graziano",1
"female","Amy Sierzega",1
"female","Amy Simmons",1
"female","Amy Visser",1
"female","Amélie Anglade",1
"female","Amélie Guyon",1
"female","Amélie Jacquot",1
"female","An De bisschop",1
"female","Ana Arboleda",1
"female","Ana Bridges",1
"female","Ana Butković",1
"female","Ana Correia",1
"female","Ana Dorado",1
"female","Ana Laucirica",1
"female","Ana Martínez-Hernández",1
"female","Ana Pereira",1
"female","Ana Ramírez",1
"female","Ana Sanahuja",1
"female","Ana Valero-García",1
"female","Ana da Luz",1
"female","Anabel Maler",1
"female","Anais Fur-Bonnabesse",1
"female","Ananya Misra",1
"female","Anastasia Gusakova",1
"female","Anastasia Kitsantas",1
"female","Anat Ben Chaim",1
"female","Anca Miron",1
"female","Andra Smith",1
"female","Andrea Crimmins",1
"female","Andrea Francis",1
"female","Andrea Gande",1
"female","Andrea Puentes-Blanco",1
"female","Andrea Rodríguez-Sánchez",1
"female","Andreea Geambaşu",1
"female","Andreia Nogueira",1
"female","AndreÂ Almeida",1
"female","AndreÂ Werner",1
"female","Andréa Reis",1
"female","Anelia Ivanova-Iotova",1
"female","Anemone van Zijl",1
"female","Angela Carpenter",1
"female","Angela Chan",1
"female","Angela Liang",1
"female","Angela Marti-Marca",1
"female","Angela Taylor",1
"female","Angela Voyajolu",1
"female","Angeles Garcia",1
"female","Ania Krysciak",1
"female","Anita Ghosh",1
"female","Anita Kumar",1
"female","Anja Hohmann",1
"female","Ann Colley",1
"female","Ann Gold",1
"female","Ann Shoebridge",1
"female","Anna Berry",1
"female","Anna Bister",1
"female","Anna Clarkson",1
"female","Anna Gabińska",1
"female","Anna Harrison",1
"female","Anna Hiemstra",1
"female","Anna Jordanous",1
"female","Anna Kent-Muller",1
"female","Anna Knoll",1
"female","Anna Kolesnikov",1
"female","Anna Nogaj",1
"female","Anna Pienimäki",1
"female","Anna Rotkirch",1
"female","Anna Schnersch",1
"female","Anna Schramm",1
"female","Anna Selway",1
"female","Anna Siminoski",1
"female","Anna Tirovolas",1
"female","Anna Weiss",1
"female","Anna Xambó",1
"female","Anna-Christina Wolf",1
"female","Anna-Katharina Bauer",1
"female","Annaliese Grimaud",1
"female","Annatina Kull",1
"female","Anne Caclin",1
"female","Anne Delavenne",1
"female","Anne Frenzel",1
"female","Anne Fritzson",1
"female","Anne Holzmüller",1
"female","Anne Jakobs",1
"female","Anne Lindblom",1
"female","Anne Maass",1
"female","Anne Spitse",1
"female","Anneke Slis",1
"female","Anneke Timmermans",1
"female","Anneli Haake",1
"female","Annelies Van Goethem",1
"female","Annelies van Goethem",1
"female","Annemarie Seither-Preisler",1
"female","Annerose Engel",1
"female","Annette Lohbeck",1
"female","Annette Prochnow",1
"female","Annette Scherer",1
"female","Anni Pitkäniemi",1
"female","Annie Liu",1
"female","Annika Beer",1
"female","Annika Hörster",1
"female","Annika Kuuda",1
"female","Antonia Bendau",1
"female","Antonina Dattolo",1
"female","Aoife Hiney",1
"female","Arabella Teniswood-Harvey",1
"female","Argiro Vatakis",1
"female","Ariadna Díaz-Pérez",1
"female","Ariane Stolfi",1
"female","Ariane Tretow",1
"female","Arielle Roussy",1
"female","Arshia Cont",1
"female","Asha Kamath",1
"female","Ashanti Anderson",1
"female","Ashley Walton",1
"female","Ashley Warmbrodt",1
"female","Ashlin Roy",1
"female","Aslı Akyol",1
"female","Athina Stamou",1
"female","Audrey Cardany",1
"female","Audrey Gauthier-Légaré",1
"female","Audrey Tonini",1
"female","Aurora Weaver",1
"female","Aurélia Bugaiska",1
"female","Ava Naffah",1
"female","Ava Stroud",1
"female","Aviva Silberstein",1
"female","Ayako Sakakibara",1
"female","Aylin Ayaz",1
"female","Aysu Erdemir",1
"female","Ayumi Osawa",1
"female","Ayumi Yasukouchi",1
"female","Azadeh Feizpour",1
"female","Azhagammal SC",1
"female","Babette Park",1
"female","Barbara Loidl",1
"female","Barbara Murphy",1
